ID,ZONEID,TIMESTAMP,U10,V10,U100,V100
30010001,1,20130801 0:00,0.566471973,-3.866857784,0.935726095,-5.888026419
30010101,1,20130801 1:00,2.513530996,-4.47508112,3.426425956,-6.41582574
30010201,1,20130801 2:00,2.730165779,-4.752177409,3.915867411,-6.84780419
30010301,1,20130801 3:00,2.461082575,-4.583655914,3.541561668,-6.545063109
30010401,1,20130801 4:00,2.146011988,-4.407169473,3.158081765,-6.2764122
30010501,1,20130801 5:00,2.015651057,-4.350995641,3.035606724,-6.259621518
30010601,1,20130801 6:00,1.756829501,-4.271765386,2.816344292,-6.468233019
30010701,1,20130801 7:00,0.956420989,-3.851719272,1.963606086,-6.813714018
30010801,1,20130801 8:00,-0.032497791,-3.242610486,0.345284199,-7.00095556
30010901,1,20130801 9:00,-0.190223115,-3.307168471,0.0535459,-7.38052673
30011001,1,20130801 10:00,-0.097488226,-3.270278194,0.348036447,-7.475673927
30011101,1,20130801 11:00,-0.112690667,-3.34196271,0.330146834,-7.780959051
30011201,1,20130801 12:00,0.084180943,-3.619478207,0.674177848,-8.168162349
30011301,1,20130801 13:00,0.385949394,-3.957359612,1.259030571,-8.434778023
30011401,1,20130801 14:00,0.49958764,-4.343869111,1.464531763,-8.806717066
30011501,1,20130801 15:00,0.715842362,-4.711514263,1.785168667,-9.203078918
30011601,1,20130801 16:00,1.00164825,-4.893031196,2.273692707,-9.490555742
30011701,1,20130801 17:00,1.106545092,-5.055264576,2.442038549,-9.565859406
30011801,1,20130801 18:00,1.143411012,-5.251453779,2.524605992,-9.714940308
30011901,1,20130801 19:00,1.338002255,-5.489563752,2.748455505,-9.927113469
30012001,1,20130801 20:00,1.746567854,-5.302597118,3.555322909,-9.886408786
30012101,1,20130801 21:00,2.616147472,-5.487886921,4.91126381,-9.829422229
30012201,1,20130801 22:00,3.445060562,-5.35332125,6.18188502,-9.242765984
30012301,1,20130801 23:00,3.512331363,-4.931598304,6.474999443,-8.051136385
30020001,1,20130802 0:00,3.506630447,-4.195888793,6.475458151,-6.968391813
30020101,1,20130802 1:00,5.644372959,-2.490892781,9.143088182,-3.62341487
30020201,1,20130802 2:00,7.02693895,-1.165421224,10.44033886,-1.665148617
30020301,1,20130802 3:00,7.434435931,-0.867067847,11.11675002,-1.29441993
30020401,1,20130802 4:00,8.254911916,-0.651862133,12.37405857,-0.900947152
30020501,1,20130802 5:00,7.667239139,-0.829068237,11.57738689,-1.229371829
30020601,1,20130802 6:00,7.348916385,0.093833191,11.36942736,0.197592453
30020701,1,20130802 7:00,6.032500128,0.173970983,10.08172806,0.571960195
30020801,1,20130802 8:00,4.763960198,-0.136798108,8.867400706,0.129815061
30020901,1,20130802 9:00,4.670400353,-0.20000538,8.893015763,0.057488851
30021001,1,20130802 10:00,5.130890215,0.076150204,9.098370371,0.539663585
30021101,1,20130802 11:00,4.27898397,-0.186837198,8.27347871,0.156653089
30021201,1,20130802 12:00,4.071032596,-0.491962783,7.782885249,-0.382381873
30021301,1,20130802 13:00,3.694600407,-0.662772912,7.192002328,-0.656675613
30021401,1,20130802 14:00,3.51076993,-0.958116419,6.819932774,-1.172966483
30021501,1,20130802 15:00,3.127028378,-1.355419276,6.820366927,-2.128218314
30021601,1,20130802 16:00,3.094867182,-1.591317847,6.631510152,-2.538976601
30021701,1,20130802 17:00,2.893494234,-1.844146938,6.274635971,-3.039346608
30021801,1,20130802 18:00,2.527295153,-2.249350704,5.578253748,-3.89770861
30021901,1,20130802 19:00,2.418385646,-2.641010054,5.441929547,-4.882527759
30022001,1,20130802 20:00,2.58101897,-3.090609404,5.392870201,-5.507990267
30022101,1,20130802 21:00,2.617565785,-3.636524599,5.175359294,-6.152102931
30022201,1,20130802 22:00,2.757540084,-4.265963689,5.149310084,-7.24927789
30022301,1,20130802 23:00,3.070746284,-5.104588754,5.297356429,-8.19179303
30030001,1,20130803 0:00,3.217664478,-5.708067714,5.469715371,-9.153413206
30030101,1,20130803 1:00,3.541228566,-6.868855428,5.677734056,-10.50076878
30030201,1,20130803 2:00,3.610116397,-6.373880639,5.829402367,-9.922602492
